Name,Price,Quantity,Unit
Discos de Algodón Desmaquilladores BALANZÉ BÁSICOS Bolsa 100,8.90,100,un
Crema Humectante Refill NEUTROGENA Hydroboost Frasco 50,37.90,50,g
Protector Solar Facial NEUTROGENA Sun Fresh Derm Care Tono Medio FPS 70 Frasco 40,52.70,40,g
Protector Solar Facial NEUTROGENA Sun Fresh Derm Care sin Color FPS 70 Frasco 40,52.70,40,g
Pañuelos Faciales KLEENEX Día a Día Paquete 150,15.90,150,un
Agua Micelar Bifásica NIVEA Rose Care Frasco 400,29.90,400,ml
Pañuelos Faciales ELITE Diseños Caja 2,16.50,2,un
Pañuelo de Papel ELITE Disney Triple Hoja Paquete 8,6.00,8,un
Bloqueador NIVEA Protect & Hydrate FPS 50 Frasco 200,48.90,200,ml
Pañuelo ELITE Triple Hoja Aloe Vera Paquete 8,6.00,8,un
Sérum Facial NIVEA Luminous 630 Tratamiento Avanzado Anti-imperfecciones Frasco 30,54.90,30,ml
Protector Solar Facial NEUTROGENA Sun Fresh Derm Care Tono Claro FPS 70 Frasco 40,52.70,40,g
Pañuelos de Papel BALANZÉ BÁSICOS Paquete 8,4.90,8,un
Papel Facial BALANZÉ BÁSICOS Caja 60,3.90,60,un
Bloqueador UV Defender L'ORÉAL Fluido Invisible FPS50 Frasco 40,61.90,40,g
Sérum Antimanchas NIVEA Cellular Luminous - Frasco 30,54.90,30,ml
Bloqueador Facial NIVEA Shine Control Cream FPS 50 Tubo 50,42.90,50,ml
Agua Micelar en Aceite GARNIER SkinActive Frasco 400,39.90,400,ml
Bloqueador NIVEA Shine Control FPS50 Frasco 50,45.90,50,ml
Pack HAWAIIAN TROPIC Protector Solar Sheer Touch FPS50 Frasco 240ml + Sensitive Skin Facial FPS50 Frasco 60,75.90,60,ml
