Name,Price,Quantity,Unit
Bio Bolsa PLAZAVEA Mediana,0.20,1,un
Jabón BOLIVAR Cuidado Total Bolsa 380,5.70,380,g
Papel Toalla PARACAS Premium Rollazo Paquete 4,7.90,4,un
Lavavajillas SAPOLIO Limón Pote 800,5.50,800,g
Lejía SAPOLIO Galonera 5,10.50,5,l
Papel Toalla BOREAL Megarollo Paquete 6,13.90,6,un
Papel Toalla BOREAL Megarollo Paquete 2,4.90,2,un
Suavizante SUAVITEL Fresca Primavera 2.3,18.90,2.3,l
Lavavajillas SAPOLIO Manzana Pote 800,5.50,800,g
Papel Higiénico ELITE Clásico Doble Hoja Paquete 40,26.90,40,un
Papel Higiénico HIGIENOL Mega Rollo Doble Hoja Paquete 24,39.90,24,un
Papel Toalla SCOTT Multiuso Paquete 6,16.90,6,un
Servilletas  de Papel ELITE Dobladas en 4 Paquete 100,4.50,100,un
Lejía CLOROX Tradicional Botella 4,10.30,4,kg
Detergente OPAL Ultra Bolsa 2.4,25.90,2.4,kg
Jabón BOLIVAR Cuidado Bebés Bolsa 380,6.00,380,g
Detergente en Polvo BOLIVAR Cuidado Total Floral Bolsa 2.4,32.70,2.4,kg
Papel Toalla NOVA Ultra Absorbente Paquete 6,18.90,6,un
Limpiatodo SAPOLIO Lavanda Botella 4.9,14.50,4.9,l
Detergente Líquido Lavanda BOREAL Doypack 3,19.90,3,l
